Kaffaljidhma;Каффальджидхма;γ;Cet;;HR 804;3.56;40.825163;3.235816;;Каффалидма
Kang;Канг;κ;Vir;;HR 5315;4.18;213.223939;-10.273704;;
Kaus Australis;Каус Австралис;ε;Sgr;;HR 6879;1.79;276.042993;-34.384616;;Каус Аустралис
Kaus Borealis;Каус Бореалис;λ;Sgr;;HR 6913;2.82;276.992668;-25.421701;;
Kaus Media;Каус Медия;δ;Sgr;;HR 6859;2.72;275.248508;-29.828104;;Каус Меридионалис, Каус Меридионалис, Каус Медиус, Медия
Keid;Кейд;ο;Eri;2;HR 1325;4.43;63.817999;-7.652872;;Киед
Khambalia;Кхамбалия;λ;Vir;;HR 5359;4.52;214.777468;-13.371096;;Хамбалия, Камбала
Kitalpha;Китальфа;α;Equ;;HR 8131;3.92;318.955949;5.247865;;
Kochab;Кохаб;β;UMi;;HR 5563;2.07;222.676357;74.155504;;
Kornephoros;Корнефорос;β;Her;;HR 6148;2.78;247.554998;21.489611;;Рутилик
Kraz;Крац;β;Crv;;HR 4786;2.65;188.596810;-23.396759;;Краз
Kurhah;Курхах;ξ;Cep;;HR 8417;4.26;330.947724;64.627971;;Элькурхах, Курдах
La Superba;Ла Суперба;;CVn;;HR 4846;5.42;191.282615;45.440257;;Суперба
Larawag;Лараваг;ε;Sco;;HR 6241;2.29;252.540878;-34.293232;;
Lesath;Лесатх;υ;Sco;;HR 6508;2.70;262.690979;-37.295813;;
Libertas;Либертас;ξ;Aql;;HR 7595;4.71;298.562008;8.461453;;
Lich;Лич;;Vir;;;;195.012701;12.682417;;
Lilii Borea;Северная Лилия;39;Ari;;HR 824;4.52;41.977256;29.247115;;
Maasym;Масим;λ;Her;;HR 6526;4.41;262.684626;26.110645;;
Mahasim;Махасим;θ;Aur;;HR 2095;2.65;89.930292;37.212585;;
Maia;Майя;20;Tau;;HR 1149;3.87;56.456695;24.367751;;
Marfik;Марфик;λ;Oph;;HR 6149;3.82;247.728453;1.983888;;
Markab;Маркаб;α;Peg;;HR 8781;2.49;346.190223;15.205267;;
Markeb;Маркеб;κ;Vel;;HR 3734;2.47;140.528407;-55.010667;;Маркаб
Marsic;Марсик;κ;Her;;HR 6008;5.00;242.018857;17.046980;;Марфак
Matar;Матар;η;Peg;;HR 8650;2.93;340.750579;30.221244;;
Mebsuta;Мебсута;ε;Gem;;HR 2473;3.06;100.983026;25.131127;;Мелунта, Мебуста, Менита, Месоула, Мибвала, Мелюкта
Megrez;Мегрец;δ;UMa;;HR 4660;3.32;183.856503;57.032615;;Каффа
Meissa;Мейсса;λ;Ori;;HR 1879;3.39;83.784486;9.934156;;Хека
Mekbuda;Мекбуда;ζ;Gem;;HR 2650;4.01;106.027215;20.570295;;
Meleph;Мелеф;ε;Cnc;;HR 3429;6.29;130.112544;19.544809;;
Menkalinan;Менкалинан;β;Aur;;HR 2088;1.90;89.882179;44.947433;;
Menkar;Менкар;α;Cet;;HR 911;2.54;45.569885;4.089737;;Менкаб
Menkent;Менкент;θ;Cen;;HR 5288;2.06;211.670617;-36.369958;;
Menkib;Менкиб;ξ;Per;;HR 1228;3.98;59.741253;35.791032;;
Merak;Мерак;β;UMa;;HR 4295;2.34;165.460319;56.382426;;
Merga;Мерга;38;Boo;;HR 5533;5.76;222.327791;46.116206;;
Meridiana;Меридиана;α;CrA;;HR 7254;4.11;287.368087;-37.904473;;Альфекка Меридиана
Merope;Меропа;23;Tau;;HR 1156;4.14;56.581552;23.948348;;
Mesarthim;Месартхим;γ;Ari;1;HR 546;4.75;28.382560;19.293852;;Месартим, Мезартим
Miaplacidus;Миаплацидус;β;Car;;HR 3685;1.67;138.299906;-69.717208;;Миапласидус, Миапляцид
Mimosa;Мимоза;β;Cru;;HR 4853;1.25;191.930263;-59.688764;;Бекрукс
Minchir;Минхир;σ;Hya;;HR 3418;4.45;129.689323;3.341436;;Аль Минлиар аль Шуйа
Minelauva;Минальаува;δ;Vir;;HR 4910;3.39;193.900869;3.397470;;Аува, Авва
Mintaka;Минтака;δ;Ori;;HR 1852;2.25;83.001667;-0.299095;;
Mira;Мира;ο;Cet;;HR 681;6.47;34.836617;-2.977640;;
Mirach;Мирах;β;And;;HR 337;2.07;17.433013;35.620557;;Альферац, Сиррах
Miram;Мирам;η;Per;;HR 834;3.77;42.674207;55.895497;;
Mirfak;Мирфак;α;Per;;HR 1017;1.79;51.080709;49.861179;;Альгени, Альгениб
Mirzam;Мирзам;β;CMa;;HR 2294;1.98;95.674939;-17.955919;;Мурзим, Мирцам
Misam;Мисам;κ;Per;;HR 941;3.79;47.374048;44.857541;;
Mizar;Мицар;ζ;UMa;;HR 5054;2.23;200.981429;54.925362;;
Mothallah;Моталлах;α;Tri;;HR 544;3.42;28.270450;29.578826;;Caput Trianuli, Металлах, Атриа
Muliphein;Мулифен;γ;CMa;;HR 2657;4.11;105.939554;-15.633286;;Изис, Мулифен
Muphrid;Муфрид;η;Boo;;HR 5235;2.68;208.671161;18.397717;;Муфриде, Аль Муфрид аль Раши, Аль Румх, Аль Рум аль Рамих
Muscida;Мускида;ο;UMa;;HR 3323;3.35;127.566128;60.718170;;
Musica;Музыка;18;Del;;HR 8030;5.48;314.608058;10.839286;;
Nahn;Нан;ξ;Cnc;;HR 3627;5.70;137.339722;22.045446;;
Naos;Наос;ζ;Pup;;HR 3165;2.21;120.896031;-40.003148;;
Nashira;Нашира;γ;Cap;;HR 8278;3.69;325.022735;-16.662308;;
Nekkar;Неккар;β;Boo;;HR 5602;3.49;225.486510;40.390567;;Мегрец, Мерез
